equip-10000001,BM 3-12X40
equip-20000350,移速+<speed>//n回避+<dodge>技能增强$C-MS专用
equip-30000350,IOP为C-MS单独研发的专用运动骨骼//c上面涂有C-MS喜欢的涂鸦//c能有效提高人形战斗效能。
equip-40000350,
equip-10000351,PM高性能骨骼
equip-20000351,伤害<pow>//n回避+<dodge>$马卡洛夫改型专用
equip-30000351,为马卡洛夫量身定做的高性能外骨骼，附带了小型抗弹装甲，进一步提升了外骨骼的坚韧性。
equip-40000351,
equip-10000352,荣誉勋章
equip-20000352,暴击概率+<critical_percent><%>//n伤害+<pow>$PPSh-41改型专用
equip-30000352,PPSh-41珍藏已久的两枚勋章，蕴藏着过去荣耀的回忆，才不是因为服务器瘫痪背锅的奖励呢！
equip-40000352,
equip-10000353,C96运动骨骼
equip-20000353,移速+<speed>//n回避+<dodge>$C96专用
equip-30000353,为C96量身订做的新型运动骨骼，对于长时间行进的作战要求有很大的帮助，是C96最喜欢的装备。
equip-40000353,
equip-10000354,正义警服
equip-20000354,暴击伤害+<critical_harm_rate><%>//n命中+<hit>技能增强$VSK-94专用
equip-30000354,VSK-94在警局服役时就穿戴的外套，即使历经多年战斗也依旧正气凛然。
equip-40000354,
equip-10000355,多功能裙撑
equip-20000355,回避+<dodge>//nPPK改型专用
equip-30000355,IOP专门为PPK设计的特殊裙撑，可以有效保持作战时的人形平衡，即使是在高速行动时也不会阻碍人形的走位。
equip-40000355,
equip-10000356,M856曳光弹
equip-20000356,伤害+<pow>//n梯队伤害+5%$HK416改型专用
equip-30000356,为HK416定制的特殊曳光弹，可以通过校正射击、点燃目标和发送信号来辅助作战。
equip-40000356,梯队伤害+5%
equip-10000357,TC高性能骨骼
equip-20000357,回避+<dodge>//n技能增强$竞争者专用
equip-30000357,专门为竞争者设计的外骨骼，提高了射击稳定性的同时还拥有高强度作战需要的运动性能。
equip-40000357,
equip-10000358,.45UMP空尖弹
equip-20000358,伤害+<pow>//n命中+<hit>$UMP45改型专用
equip-30000358,为UMP45定制的新型空尖弹，在原有的基础上大幅降低了音爆的影响。
equip-40000358,
equip-10000359,9mmUMP空尖弹
equip-20000359,伤害+<pow>//n暴击概率+<critical_percent><%>$UMP9改型专用
equip-30000359,为UMP9定制的新型空尖弹，在原有的基础上提升了一定的杀伤力。
equip-40000359,
equip-10000360,小熊辅助处理器
equip-20000360,伤害+<pow> 射速<rate>//n暴击伤害+<critical_harm_rate><%>$AS Val专用
equip-30000360,按AS Val特别要求设计的处理器，加装了不少特别功能，但愿不会影响作战任务的执行。
equip-40000360,
equip-10000361,12.7mm改良弹
equip-20000361,穿甲+<armor_piercing>//n伤害+<pow>$6P62专用
equip-30000361,针对性地改良了12.7mm普通弹，比起.50 BMG杀伤力进一步提高，更适合6P62使用。
equip-40000361,
equip-10000362,MAS特殊弹
equip-20000362,穿甲+<armor_piercing>//n伤害+<pow>$AAT-52专用
equip-30000362,在7.5×54毫米子弹的基础上做了升级开发，使用了腐蚀性较低的火药，威力也有一定的提高。
equip-40000362,
equip-10000363,Beretta特制芯片
equip-20000363,伤害+<pow> 射速+<rate>//n暴击伤害<critical_harm_rate><%>$AR70专用
equip-30000363,专为AR70定制的强化芯片，能够大幅提高作战时的攻击精准度。
equip-40000363,
equip-10000364,巡查头盔
equip-20000364,移速+<speed>//n护甲+<armor>技能增强$M870专用
equip-30000364,M870自称过去在高速公路上巡查时常戴的头盔，据说执法时还能起到一定的震慑作用。
equip-40000364,
equip-10000365,战术头饰
equip-20000365,暴击伤害+<critical_harm_rate><%>//n射速+<rate>$汉阳造88式改型专用
equip-30000365,汉阳造88式最爱佩戴的头饰，时刻提醒自己要不失作为女仆的优雅。
equip-40000365,
equip-10000366,.30-64弹
equip-20000366,穿甲+<armor_piercing>//n暴击伤害+<critical_harm_rate><%>$M1919A4改型专用
equip-30000366,全新出厂的口径为0.30英寸的步枪弹，加重了弹头的同时调整了弹壳的长度，大大增强了穿透力。
equip-40000366,
equip-10000367,熊猫挂饰
equip-20000367,命中+<hit>//n回避+<dodge>技能增强$CF05专用
equip-30000367,CF05最喜欢的多功能挂饰，每次看到它都能回想起家乡的味道。
equip-40000367,
